bus_stop_id,bus_stop_name
B65159,Punggol Field-.Blk 101c
B65151,Punggol Field-.Blk 196a
B65079,Punggol Road-.Blk 102c
B65071,Punggol Road-.Opp Blk 103a
B65241,Edgefield Plains-.Blk 196c
B65199,Aft Punggol Road-.Tampines Expressway (TPE)
B65191,Bef Punggol Road-.Tampines Expressway (TPE)
B65161,Punggol Field-.Blk 173b
B65169,Punggol Field-.Blk 108
B65249,Edgefield Plains-.Blk 178
B65171,Punggol Field-.Opp Blk 126a
B65179,Punggol Field-.Blk 126a
B65429,Greendale Primary School-.Edgefield Plains
B65529,Aft Punggol Field-.Sengkang East Drive
B65521,Punggol East Waterwoods-.Sengkang East Drive
B65231,Punggol East-.Blk 166a
B65269,Punggol Central-.Blk 162b
B65239,Punggol East-.Opp Blk 166a
B65261,Punggol Central-.Blk 649
B65419,Opp Horizon Primary School-.Edgefield Plains
B65279,Punggol Central-.Bet Blks 187/188
B65271,Punggol Central-.Opp Blk 188
B65411,Horizon Primary School-.Edgefield Plains
B65281,Punggol Secondary School-.Punggol Central
B65089,Opp Block 296-.Punggol Road
B65081,Opp Block 199c-.Punggol Road
B65289,Edgefield Primary School-.Punggol Central
B65229,Punggol Central-.Blk 298
B65209,Aft Punggol Road-.Punggol Field
B65201,Punggol Field-.Opp Blk 201a
B65341,Punggol Field-.Opp Blk 272C
B65349,Block 272C-.Punggol Field
B65211,Aft Punggol Field-.Punggol Place
B65331,Opp Block 268D-.Punggol Field
B65339,Punggol Field-.Blk 268C
B65439,aft TPE-.Punggol Way
B65431,Twin Waterfalls-.Punggol Way
B65571,Punggol Field-.Block 218
B65579,Punggol Field-.Block 258A
B65499,Sumang Walk-.Blk 259 MSCP
B65491,Sumang Walk-.Opp Blk 259 MSCP
B65539,Sumang Lane-.Block 224A
B65531,Sumang Lane-.Block 226A
B65551,Punggol Field-.Block 227A
B65541,Bef Sumang Lane-.Sumang Crescent
B65549,Aft Sumang Lane-.Sumang Crescent
B65559,Punggol Field-.Opp Block 227A
B65449,Sumang Walk-.Blk 315B
B65149,Soo Teck Station-.Punggol Way
B65441,Sumang Walk-.Opp Blk 315B
B65141,Soo Teck Station-.Punggol Way
B65401,Punggol Central-.Opp Blk 264A
B65409,Punggol Central-.Bef Blk 264
B65009,Punggol Interchange (Temp)-.Punggol Place
BC0020,Opp Waterway Point-.Punggol Central
B65219,Aft Punggol Central-.Punggol Place
B65251,Punggol Station/Waterway Point-.Punggol Central
B65221,Punggol Central-.Opp Blk 293
B65091,Punggol Road-.Blk 310A
B65099,Punggol Road-.Blk 604A
B65351,Punggol View Pr Sch-.Punggol Place
B65359,Opp Punggol View Pr Sch-.Punggol Place
BC0031,Damai Station-.Punggol Dr
B65489,Aft Punggol Dr-.Sentul Crescent
B65481,Bef Punggol Dr-.Sentul Crescent
B65469,Sumang Link-.Blk 310B
B65461,Sumang Link-.Blk 312 MSCP
B65619,Nibong Station Exit A-.Punggol Way
B65611,Nibong Station Exit B-.Punggol Way
B65459,Sumang Walk-.Opp Blk 322 MSCP
B65451,Sumang Walk-.Blk 322 MSCP
B65381,Punggol Secondary School-.Edgefield Plains
B65301,Punggol Dr-.Blk 612A
B65309,Punggol Dr-.Punggol Dr-.Opp Blk 612A
B65389,Opp Punggol Secondary School-.Edgefield Plains
B65319,Oasis Stn-.Punggol Dr
BC0032,Oasis Station-.Punggol Dr
B65311,Oasis Stn-.Punggol Dr
B65329,Kadaloor Stn-.Punggol Dr
B65321,Kadaloor Stn-.Punggol Dr
B65189,Bef Punggol Ctrl-.Punggol East
B65181,Aft Punggol Central-.Punggol East
B65561,Waterway Primary School-.Punggol East
B65569,Opp Waterway Primary School-.Punggol East
B65379,Edgefield Plains-.Blk 661A
B65371,Edgefield Plains-.Blk 682A
B65399,Edgefield Plains-.Blk 670A
B65391,Edgefield Plains-.Blk 672A
B65109,Bef Punggol Drive-.Punggol Road
B65101,Aft Punggol Drive-.Punggol Road
